path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;comments;editor_id
zvt_0813_1;Александр Проханов;муж;1938;Антисоветский Путин;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Завтра», 13.08.2003;«Завтра»;;2003.08.13;газета;ПК письменных текстов;manual;;1
06090190;Игорь Мартынов;муж;;Дерибрюхово;1997;публицистика|нехудожественная;;статья;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Столица», 04.03.1997;«Столица»;;1997.03.04;журнал;ПК письменных текстов;manual;;1
17940487;;;;Они о нас;2000;публицистика|нехудожественная;;обзор;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 2000, № 41;«Коммерсантъ-Власть»;;2000;журнал;ПК письменных текстов;manual;;1
ant1_08;Г. Я. Бакланов;муж;1923;В месте светлом, в месте злачном, в месте покойном;1995;художественная;нежанровая проза;рассказ;;Россия/СССР: 1960-1980-е;нейтральный;н-возраст;н-уровень;большая;Антология современной прозы. Т. 1. - М.: Вагриус, 2002;Антология современной прозы. Т. 1.;«Вагриус»;2002;книга;ПК письменных текстов;manual;;3
aif_0611_1;Александр Колесниченко;муж;;Партии : Медвежий привет «красным» губернаторам;2003;публицистика|нехудожественная;;отчет;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 11.06.2003;«Аргументы и факты»;;2003.06.11;газета;ПК письменных текстов;manual;;1
pikdam;Людмила Улицкая;жен;1943;Пиковая дама;1995-2000;художественная;нежанровая проза;повесть;;Россия/СССР: 1960-1980-е;нейтральный;н-возраст;н-уровень;большая;Улицкая Л. Пиковая дама. -- М.: Вагриус, 2001;Улицкая Л. Пиковая дама;«Вагриус»;2001;книга;ПК письменных текстов;manual;;3
15453;Валерий Кичин;муж;;Оператор любимых фильмов. Умер Владимир Нахабцев;2002;публицистика|нехудожественная;;некролог;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Известия», 10.03.2002;«Известия»;;2002.03.10;газета;ПК письменных текстов;manual;;1
449368;;;;Чтой-то случилось;2003;публицистика|нехудожественная;;информационное сообщение;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Марийская правда» (Йошкар-Ола), 10.01.2003;«Марийская правда» (Йошкар-Ола);;2003.01.10;газета;ПК письменных текстов;manual;;1
444433;;;;Кража на посошок;2003;публицистика|нехудожественная;;заметка;криминал;;нейтральный;н-возраст;н-уровень;большая;Криминальная хроника, 10.06.2003;«Криминальная хроника»;;2003.06.10;газета;ПК письменных текстов;manual;;1
520521;;;;Особенности военно-политического курса США на современном этапе;2004;публицистика|нехудожественная;;статья;армия и вооруженные конфликты;;нейтральный;н-возраст;н-уровень;большая;Зарубежное военное обозрение, 26.07.2004;«Зарубежное военное обозрение»;;2004.07.26;газета;ПК письменных текстов;manual;;1
494800;Елена Налимова;жен;;На арене - фестиваль;2003;публицистика|нехудожественная;;статья;досуг, зрелища и развлечения;;нейтральный;н-возраст;н-уровень;средняя;Богатей (Саратов), 20030911;«Богатей» (Саратов);;2003.09.11;газета;ПК письменных текстов;manual;;1
00054288;Николай Качурин;муж;;Крутящий момент истины;2002;публицистика|нехудожественная;;статья;техника;;нейтральный;н-возраст;н-уровень;большая;«Автопилот», 15.02.2002;«Автопилот»;;2002.02.15;журнал;ПК письменных текстов;manual;;1
422763;Денис Муханов;муж;;План повысился, а сборы упали;2002;публицистика|нехудожественная;;заметка;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;средняя;«Финансовая Россия», 2002.09.19;«Финансовая Россия»;;2002.09.19;газета;ПК письменных текстов;manual;;1
422761;Александр Гребенников, Александр Патрикеев;муж;;Что для Америки рецессия, для России -- дефолт;2002;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;средняя;«Финансовая Россия», 2002.09.19;«Финансовая Россия»;;2002.09.19;газета;ПК письменных текстов;manual;;1
479424;;;;Темниковские охотники отстреливают лис и волков;2004;публицистика|нехудожественная;;информационное сообщение;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;«Московский комсомолец» в Саранске, 23.12.2004;«Московский комсомолец» в Саранске;;2004.12.23;газета;ПК письменных текстов;manual;;1
479428;;;;Осенний сезон самоубийств передвинулся на декабрь;2004;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Московский комсомолец» в Саранске, 23.12.2004;«Московский комсомолец» в Саранске;;2004.12.23;газета;ПК письменных текстов;manual;;1
issue_2272;Эдуард Вирапян;муж;;Дарующая возвращение;2003;публицистика|нехудожественная;;заметка;наука и технологии|история;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 7;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
29168;Денис Быстров;муж;;Сестры немилосердия. Сестры Уильямс продолжают делить титулы;2003;публицистика|нехудожественная;;статья;спорт;;нейтральный;н-возраст;н-уровень;большая;«Известия», 23.01.2003;«Известия»;;2003.01.23;газета;ПК письменных текстов;manual;;1
461220;Марина Шпагина;жен;;Миллиард долларов и мертвые души;2001;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Эксперт-Интернет», 2001.03.12;«Эксперт-Интернет»;;2001.03.12;журнал;ПК письменных текстов;manual;;1
443863;Валерия Иршенкова;жен;;Свой уголок я убрала цветами;2003;публицистика|нехудожественная;;статья;дом и домашнее хозяйство;;нейтральный;н-возраст;н-уровень;большая;«Сад своими руками», 15.01.2003;«Сад своими руками»;;2003.01.15;газета;ПК письменных текстов;manual;;1
517874;Е. П. Крупник;;;Экспериментальное исследование механизмов целостного восприятия;2003;учебно-научная|нехудожественная;;статья;наука и технологии|психология;;специальный;н-возраст;н-уровень;большая;«Вопросы психологии», 2003, №4;«Вопросы психологии»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2018;;;;Самый большой объект во вселенной;2003;публицистика|нехудожественная;;заметка;наука и технологии|химия;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2014;;;;Наука ищет истину в генах;2003;публицистика|нехудожественная;;заметка;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
06219902;Екатерина Боярина;жен;;Подъем!;1997;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Столица», 06.01.1997;«Столица»;;1997.01.06;журнал;ПК письменных текстов;manual;;1
516987;;;;Почем нынче малый золотник;2002;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Витрина читающей России», 28.06.2002;«Витрина читающей России»;;2002.06.28;журнал;ПК письменных текстов;manual;;1
